Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	8.070783	3.817696	7.258000	10.740000	
0.100000	6.865478	3.168632	17.166000	21.090000	
0.100000	5.726362	2.872720	28.354000	28.500000	
0.100000	4.855464	2.607827	37.169998	34.529999	
0.100000	4.278974	2.212978	43.500000	42.049999	
0.100000	3.886799	2.088812	48.104000	44.930000	
0.100000	3.605832	1.885073	51.520000	48.299999	
0.100000	3.394508	1.834065	54.101997	49.639999	
0.100000	3.220430	1.886719	56.439999	49.930000	
0.100000	3.093583	1.715672	58.021999	53.099998	
0.100000	2.979654	1.790802	59.534000	53.059998	
0.100000	2.881457	1.752443	60.641998	53.250000	
0.100000	2.780676	1.730934	61.857998	53.949997	
0.100000	2.693632	1.507517	63.181999	58.439999	
0.100000	2.614707	1.594838	64.147995	56.180000	
0.100000	2.574578	2.058183	64.585999	50.270000	
0.100000	2.511852	1.705084	65.727997	55.169998	
0.100000	2.461307	1.458021	66.185997	59.669998	
0.100000	2.427110	1.581969	66.631996	57.859997	
0.100000	2.383465	1.758540	66.970001	55.379997	
0.100000	2.356667	1.491946	67.509995	60.189999	
0.100000	2.310079	1.523647	68.147995	58.759998	
0.100000	2.280318	1.613783	68.327995	57.379997	
0.100000	2.268192	1.459804	68.570000	60.599998	
0.100000	2.235694	1.562314	68.931999	58.699997	
0.100000	2.216115	1.658314	69.157997	56.989998	
0.100000	2.184358	1.615288	69.699997	58.649998	
0.100000	2.160503	1.641240	69.767998	57.629997	
0.100000	2.153145	1.471374	70.133995	59.889999	
0.100000	2.138488	1.640221	70.363998	57.259998	
0.100000	2.100268	1.634238	70.713997	57.730000	
0.100000	2.088227	1.526633	70.944000	59.789997	
0.100000	2.072689	1.483183	71.115997	60.629997	
0.100000	2.066546	1.377266	71.231995	62.989998	
0.100000	2.056979	1.518938	71.220001	60.099998	
0.100000	2.035625	1.664149	71.461998	57.389999	
0.100000	2.038486	1.573356	71.673996	59.779999	
0.100000	2.024429	1.552660	71.751999	58.789997	
0.100000	2.000557	1.312667	71.923996	64.260002	
0.100000	1.989936	1.566978	72.077995	59.639999	
0.100000	1.987800	1.371108	72.187996	63.000000	
0.100000	1.986170	1.389928	72.175995	63.009998	
0.100000	1.970994	1.425595	72.421997	62.230000	
0.100000	1.950927	1.465919	72.557999	61.209999	
0.100000	1.956353	1.462177	72.661995	61.869999	
0.100000	1.936951	1.547672	72.790001	59.879997	
0.100000	1.937947	1.407139	72.949997	63.079998	
0.100000	1.938085	1.528320	72.820000	61.019997	
0.100000	1.933515	1.298468	72.745995	64.680000	
0.100000	1.917000	1.633390	73.166000	59.149998	
0.100000	1.920878	1.713571	72.916000	58.009998	
0.100000	1.913105	1.556107	73.141998	59.259998	
0.100000	1.896003	1.445983	73.031998	62.049999	
0.100000	1.880290	1.428735	73.271996	61.820000	
0.100000	1.907196	1.365793	73.175995	63.369999	
0.100000	1.876126	1.438941	73.661995	62.090000	
0.100000	1.860879	1.557948	73.905998	60.359997	
0.100000	1.869970	1.550828	73.484001	60.570000	
0.100000	1.861374	1.353436	73.675995	63.789997	
0.100000	1.864440	1.276906	73.839996	65.059998	
0.100000	1.868605	1.425401	73.671997	61.599998	
0.100000	1.857134	1.373953	73.633995	63.739998	
0.100000	1.845916	1.457530	73.739998	62.609997	
0.100000	1.855937	1.393431	73.867996	62.469997	
0.100000	1.838459	1.324787	74.103996	63.849998	
0.100000	1.855357	1.674976	73.631996	57.609997	
0.100000	1.809214	1.438513	74.257996	62.239998	
0.100000	1.847506	1.493520	73.889999	61.180000	
0.100000	1.827160	1.488626	74.009995	61.840000	
0.100000	1.842017	1.495051	74.213997	62.019997	
0.100000	1.814783	1.332985	74.318001	63.980000	
0.100000	1.822381	1.346343	74.405998	63.769997	
0.100000	1.822620	1.526811	74.012001	61.129997	
0.100000	1.816371	1.484538	74.414001	62.430000	
0.100000	1.812415	1.484500	74.363998	61.689999	
0.100000	1.798587	1.474005	74.631996	61.119999	
0.100000	1.794797	1.414838	74.358002	63.349998	
0.100000	1.806195	1.656602	74.449997	59.500000	
0.100000	1.791687	1.425204	74.489998	61.969997	
