Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	7.774414	3.504289	10.104000	15.349999	
0.100000	6.129440	2.871766	23.217999	28.070000	
0.100000	5.015053	2.413583	34.747997	37.509998	
0.100000	4.329892	2.084377	42.236000	45.099998	
0.100000	3.855016	1.969684	47.444000	47.049999	
0.100000	3.535943	1.889240	51.497997	50.239998	
0.100000	3.313259	1.796384	54.491997	51.660000	
0.100000	3.111430	1.649396	56.807999	55.899998	
0.100000	2.970551	1.530858	58.605999	57.879997	
0.100000	2.863868	1.707347	59.827999	54.660000	
0.100000	2.747667	1.519227	61.309998	58.209999	
0.100000	2.656169	1.566536	62.547997	57.199997	
0.100000	2.570756	1.510332	63.981998	58.539997	
0.100000	2.508417	1.516664	64.734001	59.299999	
0.100000	2.459177	1.457254	65.187996	60.070000	
0.100000	2.386709	1.593107	66.042000	58.820000	
0.100000	2.343900	1.499658	66.622002	59.559998	
0.100000	2.295302	1.599224	67.274002	58.750000	
0.100000	2.268676	1.452753	67.652000	60.590000	
0.100000	2.217053	1.458329	68.629997	60.449997	
0.100000	2.187757	1.375413	68.986000	62.199997	
0.100000	2.139202	1.445418	69.421997	61.680000	
0.100000	2.113704	1.608958	69.661995	59.519997	
0.100000	2.100604	1.522370	69.720001	60.489998	
0.100000	2.067601	1.305491	70.199997	64.139999	
0.100000	2.042214	1.365469	70.377998	63.169998	
0.100000	2.009598	1.352794	71.287994	63.329998	
0.100000	1.986477	1.330795	71.173996	63.669998	
0.100000	1.960739	1.420537	71.669998	63.129997	
0.100000	1.943318	1.413038	71.935997	62.359997	
0.100000	1.932546	1.307694	71.953995	64.570000	
0.100000	1.912971	1.312469	72.152000	65.129997	
0.100000	1.887259	1.344753	72.566002	64.540001	
0.100000	1.891885	1.431624	72.561996	62.570000	
0.100000	1.855991	1.461906	73.181999	62.619999	
0.100000	1.832384	1.412346	73.495995	63.169998	
0.100000	1.846835	1.277713	73.167999	64.889999	
0.100000	1.824179	1.292728	73.397995	65.290001	
0.100000	1.815740	1.376773	73.545998	63.079998	
0.100000	1.799250	1.331618	73.931999	64.919998	
0.100000	1.783662	1.319124	74.054001	65.659996	
0.100000	1.766351	1.302174	74.001999	66.269997	
0.100000	1.768579	1.320417	74.019997	64.709999	
0.100000	1.753951	1.335022	74.437996	65.119995	
0.100000	1.742314	1.299886	74.262001	65.339996	
0.100000	1.742505	1.264288	74.907997	66.290001	
0.100000	1.731239	1.305030	74.741997	65.529999	
0.100000	1.704213	1.319685	75.012001	64.939995	
0.100000	1.700773	1.319564	75.021996	65.129997	
0.100000	1.687103	1.261016	75.344002	66.709999	
0.100000	1.668894	1.243282	75.489998	66.889999	
0.100000	1.671719	1.241880	75.528000	66.869995	
0.100000	1.666542	1.259496	75.650002	66.729996	
0.100000	1.658687	1.367132	75.874001	65.089996	
0.100000	1.640612	1.312759	75.816002	66.379997	
0.100000	1.648255	1.319822	75.993996	65.650002	
0.100000	1.644272	1.529528	76.028000	63.209999	
0.100000	1.646010	1.288808	75.667999	66.699997	
0.100000	1.629031	1.412059	76.231995	64.379997	
0.100000	1.630209	1.319720	76.099998	65.489998	
0.100000	1.603878	1.274479	76.521996	66.299995	
0.100000	1.599381	1.407891	76.540001	64.019997	
0.100000	1.600747	1.286315	76.321999	66.970001	
0.100000	1.615223	1.327730	76.049995	66.389999	
0.100000	1.592541	1.341818	76.589996	65.419998	
0.100000	1.591269	1.341689	76.423996	65.389999	
0.100000	1.580131	1.279961	76.598000	66.199997	
0.100000	1.577218	1.316583	76.582001	66.290001	
0.100000	1.566489	1.344265	76.944000	65.479996	
0.100000	1.577417	1.256915	76.594002	67.139999	
0.100000	1.570871	1.317586	76.650002	66.619995	
0.100000	1.555914	1.350149	76.889999	65.010002	
0.100000	1.557698	1.274646	76.972000	66.769997	
0.100000	1.543597	1.414401	77.113998	65.110001	
0.100000	1.547852	1.361183	77.276001	65.470001	
0.100000	1.540824	1.316656	77.125999	65.799995	
0.100000	1.540982	1.353533	77.262001	65.689995	
0.100000	1.529074	1.389767	77.507996	64.570000	
0.100000	1.530163	1.361795	77.377998	65.000000	
0.100000	1.523146	1.259851	77.521996	67.790001	
0.100000	1.540282	1.227711	77.045998	66.799995	
0.100000	1.514835	1.240914	77.459999	67.379997	
0.100000	1.516728	1.402443	77.470001	65.419998	
0.100000	1.504529	1.225667	77.879997	67.479996	
0.100000	1.511991	1.235794	77.624001	67.930000	
0.100000	1.510216	1.343394	77.475998	67.449997	
0.100000	1.501799	1.221450	77.769997	67.470001	
0.100000	1.514455	1.286974	77.386002	66.309998	
0.100000	1.501461	1.357729	77.673996	65.529999	
0.100000	1.478659	1.308184	78.115997	67.070000	
0.100000	1.491884	1.222510	77.680000	67.820000	
0.100000	1.484992	1.385254	78.017998	65.949997	
0.100000	1.484399	1.362552	78.037994	65.400002	
0.100000	1.473680	1.372031	78.042000	65.299995	
0.100000	1.478321	1.315216	78.180000	66.430000	
0.100000	1.477283	1.372210	78.197998	65.669998	
0.100000	1.467023	1.287092	78.056000	66.879997	
0.100000	1.460797	1.343160	78.409996	65.089996	
0.100000	1.472916	1.285973	77.883995	67.169998	
0.100000	1.467474	1.253607	78.241997	67.419998	
0.100000	1.477093	1.257900	78.023994	67.150002	
0.100000	1.458384	1.282841	78.391998	66.750000	
0.100000	1.482439	1.355111	77.886002	65.430000	
0.100000	1.473712	1.324817	77.928001	66.639999	
0.100000	1.440002	1.343003	78.512001	66.529999	
0.100000	1.438134	1.344394	78.435997	65.949997	
0.100000	1.439245	1.264725	78.661995	67.680000	
0.100000	1.460903	1.341983	78.103996	67.229996	
0.100000	1.453243	1.190340	78.297997	69.019997	
0.100000	1.422215	1.235590	78.967995	67.589996	
0.100000	1.458799	1.272043	78.180000	67.000000	
0.100000	1.445451	1.269206	78.610001	68.269997	
0.100000	1.449817	1.305336	78.330002	68.099998	
0.100000	1.460265	1.322054	78.082001	67.400002	
0.100000	1.442666	1.471265	78.554001	64.159996	
0.100000	1.429456	1.285518	78.549995	66.669998	
0.100000	1.437345	1.240198	78.759995	67.409996	
0.100000	1.423039	1.261071	78.883995	68.259995	
0.100000	1.420341	1.312150	78.806000	66.619995	
0.100000	1.440186	1.410532	78.348000	65.449997	
0.100000	1.423468	1.305225	78.694000	66.900002	
0.100000	1.435114	1.325369	78.722000	66.279999	
0.100000	1.415380	1.302568	79.043999	67.360001	
0.100000	1.407506	1.307175	79.267998	66.360001	
0.100000	1.426584	1.248970	78.790001	68.369995	
0.100000	1.413686	1.444397	78.783997	65.839996	
0.100000	1.418675	1.337034	78.877998	66.949997	
0.100000	1.408979	1.307878	78.897995	66.909996	
0.100000	1.414685	1.252484	79.068001	67.409996	
0.100000	1.405239	1.390951	78.877998	64.949997	
0.100000	1.411328	1.267342	79.068001	68.150002	
0.100000	1.413663	1.225212	78.953995	67.930000	
0.100000	1.403577	1.356573	79.015999	66.509995	
0.100000	1.415759	1.324961	78.930000	67.379997	
0.100000	1.402288	1.372869	79.278000	65.970001	
0.100000	1.403044	1.237759	79.125999	68.849998	
0.100000	1.394306	1.267671	79.122002	67.159996	
0.100000	1.383074	1.304548	79.091995	67.169998	
0.100000	1.394001	1.251207	79.185997	67.750000	
0.100000	1.401472	1.334760	78.930000	66.639999	
0.100000	1.393121	1.238282	79.054001	67.729996	
0.100000	1.393982	1.441646	79.388000	65.619995	
0.100000	1.390768	1.260842	79.217995	67.900002	
0.100000	1.377929	1.339256	79.547997	66.189995	
0.100000	1.394912	1.239248	79.029999	68.000000	
0.100000	1.408069	1.293552	79.075996	66.669998	
0.100000	1.394808	1.324869	79.031998	66.559998	
0.100000	1.392240	1.240847	79.131996	68.059998	
0.100000	1.378708	1.327932	79.411995	66.040001	
0.100000	1.379687	1.277183	79.250000	67.830002	
0.010000	0.733302	0.844545	89.385994	77.349998	
0.010000	0.543065	0.844256	92.365997	77.709999	
0.010000	0.464743	0.845941	93.584000	78.119995	
0.010000	0.419471	0.860542	94.307999	77.889999	
0.010000	0.383238	0.861076	95.015999	77.830002	
0.010000	0.352898	0.866593	95.334000	77.989998	
0.010000	0.322316	0.887173	95.750000	77.860001	
0.010000	0.304560	0.895536	95.998001	77.979996	
0.010000	0.289370	0.905552	96.335999	77.959999	
0.010000	0.271803	0.909850	96.547997	78.029999	
0.010000	0.256155	0.912648	96.783997	78.089996	
0.010000	0.241764	0.920342	97.040001	77.619995	
0.010000	0.233319	0.940067	97.035995	77.739998	
0.010000	0.223539	0.930801	97.171997	77.769997	
0.010000	0.210967	0.937383	97.423996	77.879997	
0.010000	0.198209	0.945912	97.531998	78.119995	
0.010000	0.191641	0.951615	97.743996	77.820000	
0.010000	0.179188	0.954836	97.963997	78.110001	
0.010000	0.174293	0.970990	97.989998	77.669998	
0.010000	0.171597	0.979892	98.023994	77.629997	
0.010000	0.166248	0.993485	98.135994	77.449997	
0.010000	0.158406	0.981112	98.175995	77.739998	
0.010000	0.155566	0.986771	98.250000	77.720001	
0.010000	0.148324	0.991975	98.335999	77.629997	
0.010000	0.147433	0.991549	98.293999	77.540001	
0.010000	0.144587	0.998621	98.385994	77.669998	
0.010000	0.137921	1.012336	98.517998	77.790001	
0.010000	0.135631	0.996950	98.528000	77.680000	
0.010000	0.129328	1.013139	98.545998	77.659996	
0.010000	0.126785	1.001047	98.657997	77.529999	
0.010000	0.125369	1.024262	98.659996	77.369995	
0.010000	0.125114	1.010183	98.635994	77.790001	
0.010000	0.127553	1.021163	98.599998	77.689995	
0.010000	0.120556	1.028352	98.759995	77.330002	
0.010000	0.116613	1.034398	98.821999	77.279999	
0.010000	0.113047	1.041451	98.851997	77.279999	
0.010000	0.116738	1.043012	98.837997	77.449997	
0.010000	0.112084	1.035658	98.860001	77.349998	
0.010000	0.109959	1.037425	98.965996	77.250000	
0.010000	0.104735	1.038445	98.977997	77.409996	
0.010000	0.108093	1.032447	98.944000	77.379997	
0.010000	0.104514	1.029528	98.959999	77.259995	
0.010000	0.105088	1.038797	98.961998	77.449997	
0.010000	0.102970	1.029524	99.031998	77.229996	
0.010000	0.105302	1.032280	98.967995	77.470001	
0.010000	0.102194	1.036594	99.054001	77.729996	
0.010000	0.107568	1.043709	98.931999	77.229996	
0.010000	0.101697	1.032066	98.991997	77.559998	
0.010000	0.102410	1.054340	99.073997	77.049995	
0.010000	0.098442	1.045674	99.124001	77.419998	
0.010000	0.100247	1.083087	99.015999	76.970001	
0.010000	0.106032	1.053741	98.944000	77.099998	
0.010000	0.099428	1.082792	99.026001	76.839996	
0.010000	0.101002	1.050431	98.986000	77.119995	
0.010000	0.096732	1.076120	99.152000	76.769997	
0.010000	0.098234	1.054012	99.068001	77.250000	
0.010000	0.094737	1.052926	99.145996	76.889999	
0.010000	0.096351	1.077252	99.070000	76.759995	
0.010000	0.099288	1.063736	99.037994	76.959999	
0.010000	0.104685	1.075015	98.897995	77.099998	
0.010000	0.103031	1.050069	99.042000	76.959999	
0.010000	0.098681	1.072567	98.995995	77.199997	
0.010000	0.099094	1.061427	99.001999	76.629997	
0.010000	0.099550	1.081725	99.035995	76.830002	
0.010000	0.097112	1.092461	99.009995	76.599998	
0.010000	0.103460	1.068652	98.970001	76.889999	
0.010000	0.106152	1.067504	98.975998	77.259995	
0.010000	0.103853	1.075047	98.961998	77.180000	
0.010000	0.101674	1.062975	98.907997	76.809998	
0.010000	0.105249	1.083748	98.917999	76.919998	
0.010000	0.112659	1.068705	98.848000	77.150002	
0.010000	0.109505	1.080351	98.895996	76.750000	
0.010000	0.108777	1.105623	98.885994	76.430000	
0.010000	0.106501	1.072826	98.930000	76.979996	
0.010000	0.105618	1.100937	98.963997	76.809998	
0.001000	0.077304	1.042481	99.353996	77.720001	
0.001000	0.061014	1.043941	99.554001	78.040001	
0.001000	0.054330	1.027233	99.655998	77.849998	
0.001000	0.051179	1.032975	99.680000	77.790001	
0.001000	0.049022	1.032180	99.667999	78.180000	
0.001000	0.048254	1.013236	99.703995	78.269997	
0.001000	0.046535	1.035738	99.731995	78.129997	
0.001000	0.044462	1.026139	99.729996	78.419998	
0.001000	0.043497	1.036562	99.751999	78.209999	
0.001000	0.042691	1.033520	99.771996	78.209999	
0.001000	0.042458	1.030322	99.773994	78.180000	
0.001000	0.041216	1.028509	99.793999	78.279999	
0.001000	0.040141	1.024836	99.804001	78.159996	
0.001000	0.040360	1.027327	99.773994	78.110001	
0.001000	0.039777	1.036393	99.781998	78.150002	
0.001000	0.038011	1.021371	99.809998	78.250000	
0.001000	0.038549	1.036016	99.795998	78.189995	
0.001000	0.039429	1.025812	99.727997	78.259995	
0.001000	0.038074	1.018196	99.773994	78.239998	
0.001000	0.037451	1.030137	99.792000	78.220001	
0.001000	0.037596	1.030880	99.811996	78.229996	
0.001000	0.037364	1.023414	99.807999	78.150002	
0.001000	0.037375	1.035152	99.821999	78.119995	
0.001000	0.036391	1.018703	99.835999	78.189995	
0.001000	0.036028	1.039754	99.825996	78.059998	
0.001000	0.034527	1.027304	99.851997	78.400002	
0.001000	0.033876	1.025612	99.835999	78.019997	
0.001000	0.035075	1.026376	99.832001	78.180000	
0.001000	0.035089	1.020889	99.825996	78.119995	
0.001000	0.034152	1.026857	99.804001	77.989998	
0.001000	0.035702	1.031885	99.820000	78.119995	
0.001000	0.033946	1.032989	99.843994	78.059998	
0.001000	0.034009	1.035784	99.827995	78.139999	
0.001000	0.033801	1.031258	99.827995	78.169998	
0.001000	0.033490	1.030846	99.848000	78.099998	
0.001000	0.033288	1.027925	99.874001	78.309998	
0.001000	0.033990	1.027290	99.848000	78.009995	
0.001000	0.034399	1.038463	99.809998	77.970001	
0.001000	0.033909	1.031534	99.851997	78.110001	
0.001000	0.032343	1.035521	99.841995	78.199997	
0.001000	0.032936	1.024564	99.843994	77.959999	
0.001000	0.033201	1.022428	99.857994	78.169998	
0.001000	0.032382	1.034267	99.846001	78.070000	
0.001000	0.031879	1.027617	99.869995	78.290001	
0.001000	0.032909	1.029785	99.849998	78.080002	
0.001000	0.031031	1.030305	99.877998	78.089996	
0.001000	0.032186	1.020279	99.809998	78.099998	
0.001000	0.031287	1.036392	99.881996	78.000000	
0.001000	0.031837	1.037436	99.841995	77.970001	
0.001000	0.032028	1.027793	99.863998	78.040001	
