Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	8.850217	4.394405	2.120000	2.820000	
0.100000	8.192036	4.227829	3.094000	4.310000	
0.100000	7.797433	3.890054	5.238000	8.630000	
0.100000	7.213974	3.839045	9.990000	11.190000	
0.100000	6.696449	3.450137	15.422000	17.510000	
0.100000	6.155694	3.351550	20.930000	20.789999	
0.100000	5.655285	2.794086	26.202000	28.639999	
0.100000	5.207138	2.761696	30.751999	31.480000	
0.100000	4.824543	2.610327	35.590000	36.360001	
0.100000	4.521976	2.349638	39.135998	39.639999	
0.100000	4.227633	2.237550	42.424000	42.230000	
0.100000	3.971074	2.136929	45.865997	43.500000	
0.100000	3.754040	2.290216	48.680000	42.009998	
0.100000	3.559737	1.925093	50.911999	49.039997	
0.100000	3.380422	2.046047	53.107998	48.619999	
0.100000	3.250121	1.931844	54.775997	51.029999	
0.100000	3.092351	1.842775	57.009998	51.090000	
0.100000	2.973431	1.788991	58.604000	52.579998	
0.100000	2.874968	1.706074	59.897999	54.489998	
0.100000	2.742747	1.792988	61.598000	53.059998	
0.100000	2.659487	1.750812	62.708000	54.259998	
0.100000	2.562851	1.665611	63.931999	55.750000	
0.100000	2.467884	1.858168	65.353996	54.699997	
0.100000	2.396197	1.707438	66.346001	55.329998	
0.100000	2.332861	1.773305	66.902000	54.349998	
0.100000	2.260237	1.767332	68.061996	56.049999	
0.100000	2.206084	1.545540	68.750000	58.899998	
0.100000	2.145959	1.486614	69.603996	60.349998	
0.100000	2.078530	1.566191	70.493996	58.869999	
0.100000	2.030870	1.557571	70.953995	60.230000	
0.100000	1.970128	1.626043	71.849998	58.359997	
0.100000	1.925352	1.606719	72.526001	60.090000	
0.100000	1.882010	1.755276	73.094002	58.139999	
0.100000	1.849348	1.684197	73.512001	58.889999	
0.100000	1.792004	1.687328	74.419998	58.619999	
0.100000	1.761484	1.669407	75.012001	59.820000	
0.100000	1.738733	1.428754	75.045998	63.109997	
0.100000	1.705807	1.493780	75.459999	61.389999	
0.100000	1.655034	1.402871	76.262001	63.029999	
0.100000	1.619865	1.599901	76.678001	60.959999	
0.100000	1.606662	1.464657	76.905998	62.779999	
0.100000	1.575412	1.550572	77.215996	61.149998	
0.100000	1.531050	1.504016	77.807999	62.869999	
0.100000	1.501594	1.535944	78.346001	62.809998	
0.100000	1.488049	1.419343	78.416000	63.180000	
0.100000	1.467767	1.668543	78.809998	61.299999	
0.100000	1.448769	1.472970	79.014000	63.399998	
0.100000	1.420264	1.520280	79.561996	64.239998	
0.100000	1.402366	1.474334	79.619995	63.660000	
0.100000	1.376633	1.475944	79.961998	63.289997	
0.100000	1.351768	1.426157	80.547997	64.729996	
0.100000	1.341740	1.627446	80.416000	62.709999	
0.100000	1.324268	1.600775	80.804001	62.160000	
0.100000	1.301582	1.625129	81.234001	62.070000	
0.100000	1.278403	1.453687	81.495995	63.939999	
0.100000	1.268170	1.670422	81.491997	61.879997	
0.100000	1.246241	1.440210	81.984001	65.799995	
0.100000	1.222159	1.600138	82.353996	62.369999	
0.100000	1.210292	1.423846	82.507996	65.309998	
0.100000	1.193685	1.623014	82.451996	62.410000	
0.100000	1.198231	1.395281	82.479996	66.019997	
0.100000	1.165655	1.520868	83.119995	64.580002	
0.100000	1.151287	1.471868	83.103996	64.809998	
