Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	8.498378	3.745727	6.530000	11.889999	
0.100000	7.142080	3.473331	15.216000	18.619999	
0.100000	6.087161	2.879348	24.911999	29.539999	
0.100000	5.097277	2.483232	34.897999	36.480000	
0.100000	4.335659	2.478603	43.242001	37.549999	
0.100000	3.840340	1.951996	48.862000	47.419998	
0.100000	3.523800	1.969114	52.717999	48.239998	
0.100000	3.285106	1.905126	55.663998	48.930000	
0.100000	3.094136	1.967834	57.837997	49.250000	
0.100000	2.953161	1.861343	59.587997	51.399998	
0.100000	2.824440	1.742772	61.273998	54.459999	
0.100000	2.735400	1.701058	62.632000	54.090000	
0.100000	2.641071	1.637220	63.694000	55.480000	
0.100000	2.574674	1.788735	64.571999	54.180000	
0.100000	2.498017	1.626099	65.613998	56.239998	
0.100000	2.444898	1.800456	66.355995	55.919998	
0.100000	2.393324	1.834787	66.799995	54.079998	
0.100000	2.319201	1.536038	67.953995	57.840000	
0.100000	2.287472	1.709603	68.173996	56.709999	
0.100000	2.245139	1.614449	68.820000	57.059998	
0.100000	2.206315	1.542616	69.028000	58.189999	
0.100000	2.164038	1.778399	69.552002	55.039997	
0.100000	2.128804	1.556204	70.251999	58.730000	
0.100000	2.103141	1.631943	70.386002	57.820000	
0.100000	2.061592	1.818938	71.054001	55.489998	
0.100000	2.044728	1.509200	71.169998	59.419998	
0.100000	2.027411	1.923218	71.470001	54.009998	
0.100000	2.008553	1.696230	71.622002	56.230000	
0.100000	1.970777	1.874683	72.047997	55.399998	
0.100000	1.933614	1.841310	72.605995	55.189999	
0.100000	1.953806	1.727524	72.299995	56.629997	
0.100000	1.911611	1.463474	72.951996	62.019997	
0.100000	1.910210	1.633831	73.009995	58.070000	
0.100000	1.884576	1.679421	73.316002	58.759998	
0.100000	1.869942	1.535912	73.561996	61.129997	
0.100000	1.868333	1.658432	73.535995	57.230000	
0.100000	1.853783	1.535648	73.547997	60.669998	
0.100000	1.824805	1.983356	73.917999	51.660000	
0.100000	1.829255	1.390122	74.035995	62.099998	
0.100000	1.820662	1.467002	74.189995	61.219997	
0.100000	1.796757	1.424076	74.220001	62.590000	
0.100000	1.777068	1.444414	74.835999	61.889999	
0.100000	1.759359	1.548568	75.129997	60.489998	
0.100000	1.775595	1.706803	74.846001	58.639999	
0.100000	1.752154	1.940754	75.003998	55.329998	
0.100000	1.767533	1.593748	74.841995	59.340000	
0.100000	1.744475	1.480906	75.136002	61.849998	
0.100000	1.731852	1.574245	75.166000	58.609997	
0.100000	1.719991	1.452586	75.445999	61.449997	
0.100000	1.737273	2.006388	75.089996	54.379997	
0.100000	1.705445	1.535205	75.594002	60.299999	
0.100000	1.705957	1.409721	75.575996	63.519997	
0.100000	1.698132	1.633627	75.729996	58.039997	
0.100000	1.705171	1.476853	75.608002	61.840000	
0.100000	1.694559	1.538817	75.804001	60.009998	
0.100000	1.683367	1.419014	75.911995	62.829998	
0.100000	1.667045	1.466275	76.066002	60.930000	
0.100000	1.670399	1.665331	76.199997	59.090000	
0.100000	1.673380	1.568735	76.049995	61.309998	
0.100000	1.661112	1.664624	76.229996	58.829998	
0.100000	1.657202	1.461676	76.112000	61.820000	
0.100000	1.647701	1.741745	76.213997	57.379997	
0.100000	1.650479	1.522947	76.369995	62.340000	
0.100000	1.644546	1.565850	76.447998	60.809998	
0.100000	1.632687	1.592825	76.587997	60.699997	
0.100000	1.639885	1.609438	76.393997	60.199997	
0.100000	1.625956	1.667363	76.528000	58.199997	
0.100000	1.618586	1.721404	76.713997	58.000000	
0.100000	1.621946	1.854607	76.790001	57.480000	
0.100000	1.618154	1.763686	76.757996	58.129997	
0.100000	1.632277	1.382874	76.470001	64.489998	
0.100000	1.613133	1.368469	77.005997	63.480000	
0.100000	1.611382	1.636025	76.895996	59.029999	
0.100000	1.601366	1.842211	76.947998	57.090000	
0.100000	1.593190	1.678135	77.037994	59.090000	
0.100000	1.611103	1.490028	76.736000	61.949997	
0.100000	1.588962	1.375275	77.056000	62.969997	
0.100000	1.599734	1.822098	77.119995	57.379997	
0.100000	1.579571	1.682607	77.183998	59.809998	
0.100000	1.586881	1.551018	77.019997	61.809998	
0.100000	1.593541	1.465863	77.091995	61.769997	
0.100000	1.595435	1.524826	77.211998	61.309998	
0.100000	1.574911	1.363195	77.383995	64.750000	
0.100000	1.583659	1.570720	76.989998	60.529999	
0.100000	1.582538	1.646967	77.113998	57.340000	
0.100000	1.575112	1.527332	77.339996	61.930000	
0.100000	1.567934	1.542185	77.498001	60.889999	
0.100000	1.583173	1.680810	77.437996	58.459999	
0.100000	1.574784	1.417823	77.414001	63.410000	
0.100000	1.561754	1.446432	77.325996	63.219997	
0.100000	1.575264	1.722590	77.255997	57.279999	
0.100000	1.567172	1.605605	77.565994	59.459999	
0.100000	1.549356	1.824840	77.559998	57.149998	
0.100000	1.558882	1.860695	77.433998	56.399998	
0.100000	1.563934	1.482930	77.437996	62.230000	
0.100000	1.557314	1.383412	77.594002	63.629997	
0.100000	1.560384	1.564008	77.507996	61.070000	
0.100000	1.549127	1.570772	77.638000	61.119999	
0.100000	1.552166	1.665204	77.650002	59.859997	
0.100000	1.545600	1.536098	77.975998	61.879997	
0.100000	1.535486	1.625150	77.804001	59.199997	
0.100000	1.574928	1.363817	77.143997	64.169998	
0.100000	1.555768	1.509648	77.575996	62.469997	
0.100000	1.545864	1.472158	77.715996	62.099998	
0.100000	1.540384	1.461399	77.779999	63.219997	
0.100000	1.558479	1.635268	77.325996	59.669998	
