Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	10.366303	3.856963	9.338829	21.410000	
0.100000	7.204135	2.987124	27.263189	35.436001	
0.100000	6.051117	2.651583	36.419296	40.700001	
0.100000	5.505403	3.014498	40.950867	35.570000	
0.100000	5.183565	2.316543	43.636467	47.020000	
0.100000	4.974391	2.167232	45.412735	49.124001	
0.100000	4.826840	2.432750	46.659332	45.638000	
0.100000	4.724647	2.209900	47.574749	48.875999	
0.100000	4.644853	2.163678	48.259750	50.243999	
0.100000	4.579067	2.253074	48.844608	48.371998	
0.100000	4.526277	2.029839	49.370689	52.539997	
0.100000	4.482229	2.058293	49.774853	51.896000	
0.100000	4.447830	2.259510	50.072552	48.478001	
0.100000	4.412978	1.956945	50.393353	53.941998	
0.100000	4.385273	1.942042	50.624783	54.362000	
0.100000	4.361126	2.153280	50.892349	50.613998	
0.100000	4.340826	1.906352	51.065083	54.627998	
0.100000	4.323476	2.104173	51.156639	51.411999	
0.100000	4.306197	1.945104	51.368164	54.723999	
0.100000	4.287910	1.951549	51.509445	54.085999	
0.100000	4.277881	2.016538	51.559319	53.091999	
0.100000	4.263280	1.975840	51.708012	53.873997	
0.100000	4.248482	1.979817	51.898540	54.070000	
0.100000	4.246498	1.859297	51.876610	55.674000	
0.100000	4.228790	2.026661	52.048405	52.882000	
0.100000	4.223780	1.951830	52.148705	54.373997	
0.100000	4.213649	2.034193	52.145504	53.014000	
0.100000	4.208801	1.902927	52.272732	55.896000	
0.100000	4.194948	1.882618	52.385834	55.270000	
0.100000	4.188874	1.893369	52.421894	55.199997	
0.100000	4.185361	1.998231	52.380993	53.259998	
0.010000	3.119564	1.218009	63.519962	69.925995	
0.010000	2.892028	1.164484	65.852699	71.089996	
0.010000	2.798412	1.148805	66.804245	71.285995	
0.010000	2.745214	1.137213	67.388725	71.559998	
0.010000	2.704687	1.145131	67.807175	71.313995	
0.010000	2.675120	1.135522	68.018349	71.641998	
0.010000	2.656121	1.128356	68.203339	71.844002	
0.010000	2.647979	1.135731	68.296173	71.610001	
0.010000	2.638151	1.139857	68.359009	71.790001	
0.010000	2.634515	1.139565	68.362373	71.484001	
0.010000	2.628977	1.216571	68.378632	69.769997	
0.010000	2.630487	1.148064	68.360802	71.339996	
0.010000	2.628484	1.146998	68.348297	71.475998	
0.010000	2.627996	1.143100	68.353500	71.278000	
0.010000	2.622071	1.165636	68.306396	70.998001	
0.010000	2.627439	1.149668	68.336044	71.321999	
0.010000	2.617356	1.176416	68.422005	70.909996	
0.010000	2.618239	1.183910	68.326714	70.610001	
0.010000	2.610542	1.173895	68.460144	70.835999	
0.010000	2.610849	1.158181	68.476341	70.967995	
0.010000	2.603680	1.164153	68.489281	71.054001	
0.010000	2.600952	1.152624	68.553329	71.189995	
0.010000	2.592816	1.144299	68.610283	71.470001	
0.010000	2.586520	1.161130	68.686409	71.175995	
0.010000	2.585134	1.229035	68.651085	69.799995	
0.010000	2.577226	1.162437	68.751610	71.304001	
0.010000	2.574331	1.154801	68.774925	71.250000	
0.010000	2.563917	1.143386	68.851524	71.666000	
0.010000	2.563805	1.214264	68.896332	69.923996	
0.010000	2.559452	1.152322	68.895821	71.339996	
0.001000	2.147648	0.971895	73.673668	75.535995	
0.001000	2.044723	0.956478	74.804512	75.905998	
0.001000	2.000193	0.950905	75.348679	76.108002	
0.001000	1.970058	0.948319	75.626617	76.155998	
0.001000	1.947757	0.941615	75.905548	76.295998	
0.001000	1.929206	0.939470	76.111732	76.374001	
0.001000	1.909684	0.935107	76.366226	76.517998	
0.001000	1.898812	0.937788	76.451088	76.281998	
0.001000	1.882580	0.938646	76.624916	76.320000	
0.001000	1.870618	0.937824	76.801086	76.395996	
0.001000	1.857177	0.936024	76.920273	76.655998	
0.001000	1.844728	0.934185	77.098061	76.528000	
0.001000	1.835734	0.933905	77.196732	76.503998	
0.001000	1.827850	0.931719	77.274368	76.493996	
0.001000	1.817699	0.934172	77.393684	76.757996	
0.001000	1.804858	0.933001	77.504311	76.556000	
0.001000	1.802562	0.931499	77.553986	76.767998	
0.001000	1.787514	0.931737	77.698761	76.650002	
0.001000	1.781106	0.932280	77.804932	76.739998	
0.001000	1.773017	0.932916	77.893448	76.711998	
0.001000	1.766216	0.934099	77.962669	76.680000	
0.001000	1.763887	0.934176	78.020203	76.731995	
0.001000	1.756202	0.937062	78.100471	76.773994	
0.001000	1.747767	0.935693	78.202652	76.713997	
0.001000	1.743883	0.937521	78.229187	76.653999	
0.001000	1.735908	0.931410	78.301888	76.879997	
0.001000	1.729742	0.937488	78.401520	76.678001	
0.001000	1.724392	0.938023	78.492722	76.695999	
0.001000	1.717290	0.944043	78.568817	76.529999	
